Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
0.55,0.039934397721822536,-0.00688,-0.00688,1,-0.00688
0.555,0.03998439772182254,-0.00683,-0.00683,1,-0.00683
0.56,0.03989439772182254,-0.00692,-0.00692,1,-0.00692
0.565,0.03980439772182254,-0.00701,-0.00701,1,-0.00701
0.57,0.03989439772182254,-0.00692,-0.00692,1,-0.00692
0.575,0.04008439772182254,-0.00673,-0.00673,1,-0.00673
0.58,0.04026439772182254,-0.00655,-0.00655,1,-0.00655
0.585,0.04049439772182254,-0.00632,-0.00632,1,-0.00632
0.59,0.04055439772182254,-0.00626,-0.00626,1,-0.00626
0.595,0.04048439772182254,-0.00633,-0.00633,1,-0.00633
0.6,0.040724397721822535,-0.00609,-0.00609,1,-0.00609
0.605,0.040954397721822536,-0.00586,-0.00586,1,-0.00586
0.61,0.04109439772182254,-0.00572,-0.00572,1,-0.00572
0.615,0.04100439772182254,-0.00581,-0.00581,1,-0.00581
0.62,0.04110439772182254,-0.00571,-0.00571,1,-0.00571
0.625,0.041044397721822536,-0.00577,-0.00577,1,-0.00577
0.63,0.04121439772182254,-0.0056,-0.0056,1,-0.0056
0.635,0.04132439772182254,-0.00549,-0.00549,1,-0.00549
0.64,0.04137439772182254,-0.00544,-0.0054399999999999995,1,-0.00544
0.645,0.04169439772182254,-0.00512,-0.00512,1,-0.00512
0.65,0.04168439772182254,-0.00513,-0.00513,1,-0.00513
0.655,0.04144439772182254,-0.005370000000000001,-0.005370000000000001,1,-0.005370000000000001
0.66,0.04126439772182254,-0.00555,-0.00555,1,-0.00555
0.665,0.041334397721822534,-0.00548,-0.00548,1,-0.00548
0.67,0.041384397721822536,-0.00543,-0.00543,1,-0.00543
0.675,0.041584397721822534,-0.005229999999999999,-0.005229999999999999,1,-0.005229999999999999
0.68,0.04177439772182254,-0.00504,-0.00504,1,-0.00504
0.685,0.041724397721822536,-0.00509,-0.00509,1,-0.00509
0.69,0.041244397721822534,-0.00557,-0.00557,1,-0.00557
0.695,0.04107439772182254,-0.00574,-0.0057399999999999994,1,-0.00574
0.7,0.041154397721822535,-0.00566,-0.00566,1,-0.00566
0.705,0.04105439772182254,-0.00576,-0.00576,1,-0.00576
0.71,0.041224397721822535,-0.00559,-0.0055899999999999995,1,-0.00559
0.715,0.04142439772182254,-0.00539,-0.00539,1,-0.00539
0.72,0.041334397721822534,-0.00548,-0.00548,1,-0.00548
0.725,0.04112439772182254,-0.00569,-0.00569,1,-0.00569
0.73,0.04089439772182254,-0.00592,-0.00592,1,-0.00592
0.735,0.04110439772182254,-0.00571,-0.00571,1,-0.00571
0.74,0.04126439772182254,-0.00555,-0.00555,1,-0.00555
0.745,0.04110439772182254,-0.00571,-0.00571,1,-0.00571
0.75,0.04069439772182254,-0.00612,-0.0061200000000000004,1,-0.00612
0.755,0.04082439772182254,-0.00599,-0.00599,1,-0.00599
0.76,0.04109439772182254,-0.00572,-0.00572,1,-0.00572
0.765,0.04128439772182254,-0.005529999999999999,-0.005529999999999999,1,-0.005529999999999999
0.77,0.04103439772182254,-0.00578,-0.0057799999999999995,1,-0.00578
0.775,0.040864397721822536,-0.00595,-0.00595,1,-0.00595
0.78,0.04089439772182254,-0.00592,-0.00592,1,-0.00592
0.785,0.04073439772182254,-0.00608,-0.0060799999999999995,1,-0.00608
0.79,0.04053439772182254,-0.00628,-0.00628,1,-0.00628
0.795,0.04055439772182254,-0.00626,-0.00626,1,-0.00626
0.8,0.04055439772182254,-0.00626,-0.00626,1,-0.00626
